0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,7,8,32,15,16,17,32,24,25,26,32,33,34,35,32,42,43,44,32,0,0,0
0,0,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0
0,0,0,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,0,0,0
0,0,0,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,0,0,0
0,0,0,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,0,0,0
0,0,23,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,14,0,0
0,0,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,0,0
0,0,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,22,0,0
0,0,41,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,40,0,0
0,0,0,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,0,0,0
0,0,0,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,0,0,0
0,0,0,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
